Code,Temperature,Damage,Species,Genotype
15,4,0,NEGU,Bussey3
16,-80,1,PLAT,Weld1
16,-80,1,PLAT,Weld1
16,-80,1,PLAT,Weld1
16,-40,1,PLAT,Weld1
16,-40,1,PLAT,Weld1
16,-40,0.75,PLAT,Weld1
16,-30,1,PLAT,Weld1
16,-30,1,PLAT,Weld1
16,-30,1,PLAT,Weld1
16,-20,0,PLAT,Weld1
16,-20,0.25,PLAT,Weld1
16,-20,0,PLAT,Weld1
16,-10,0,PLAT,Weld1
16,-10,0,PLAT,Weld1
16,-10,0,PLAT,Weld1
16,4,0,PLAT,Weld1
16,4,0,PLAT,Weld1
16,4,0,PLAT,Weld1
17,-80,1,PLAT,Weld2
17,-80,1,PLAT,Weld2
17,-80,1,PLAT,Weld2
17,-40,1,PLAT,Weld2
17,-40,1,PLAT,Weld2
17,-40,1,PLAT,Weld2
17,-30,0.5,PLAT,Weld2
17,-30,0.5,PLAT,Weld2
17,-30,0.5,PLAT,Weld2
17,-20,0.25,PLAT,Weld2
17,-20,0.25,PLAT,Weld2
17,-20,0.25,PLAT,Weld2
17,-10,0,PLAT,Weld2
17,-10,0,PLAT,Weld2
17,-10,0,PLAT,Weld2
17,4,0,PLAT,Weld2
17,4,0,PLAT,Weld2
17,4,0,PLAT,Weld2
18,-80,1,PLAT,Weld3
18,-80,1,PLAT,Weld3
18,-80,1,PLAT,Weld3
18,-40,0.5,PLAT,Weld3
18,-40,0.75,PLAT,Weld3
18,-40,0,PLAT,Weld3
18,-30,0.75,PLAT,Weld3
18,-30,0.75,PLAT,Weld3
18,-30,1,PLAT,Weld3
18,-20,0,PLAT,Weld3
18,-20,0,PLAT,Weld3
18,-20,0,PLAT,Weld3
18,-10,0,PLAT,Weld3
18,-10,0,PLAT,Weld3
18,-10,0,PLAT,Weld3
18,4,0,PLAT,Weld3
18,4,0,PLAT,Weld3
18,4,0,PLAT,Weld3
19,-80,1,PSEP,750-55 B
19,-80,1,PSEP,750-55 B
19,-80,1,PSEP,750-55 B
19,-40,0.75,PSEP,750-55 B
19,-40,0.75,PSEP,750-55 B
19,-40,0.75,PSEP,750-55 B
19,-30,1,PSEP,750-55 B
19,-30,0.75,PSEP,750-55 B
19,-30,0.5,PSEP,750-55 B
19,-20,0,PSEP,750-55 B
19,-20,0,PSEP,750-55 B
19,-20,0,PSEP,750-55 B
19,-10,0,PSEP,750-55 B
19,-10,0,PSEP,750-55 B
19,-10,0,PSEP,750-55 B
19,4,0,PSEP,750-55 B
19,4,0,PSEP,750-55 B
19,4,0,PSEP,750-55 B
20,-80,1,PSEP,22858 B
20,-80,1,PSEP,22858 B
20,-80,1,PSEP,22858 B
20,-40,0.75,PSEP,22858 B
20,-40,1,PSEP,22858 B
20,-40,0.25,PSEP,22858 B
20,-30,0.75,PSEP,22858 B
20,-30,0.25,PSEP,22858 B
20,-30,0,PSEP,22858 B
20,-20,0,PSEP,22858 B
20,-20,0,PSEP,22858 B
20,-20,0,PSEP,22858 B
20,-10,0,PSEP,22858 B
20,-10,0,PSEP,22858 B
20,-10,0,PSEP,22858 B
20,4,0,PSEP,22858 B
20,4,0,PSEP,22858 B
20,4,0,PSEP,22858 B
21,-80,1,PSEP,19634 A
21,-80,1,PSEP,19634 A
21,-80,1,PSEP,19634 A
21,-40,1,PSEP,19634 A
21,-40,1,PSEP,19634 A
21,-40,1,PSEP,19634 A
21,-30,0.5,PSEP,19634 A
21,-30,0.75,PSEP,19634 A
21,-30,1,PSEP,19634 A
